,Strategy,Date,Transaction,Symbol,Qty,Option,Strike,ExpiryDt,EnTime,BPrice,ExTime,SPrice
106,CE_PE_EMA10_EMA30_2022,2022-04-01,Buy,NIFTY,50,CE,17600,2022-04-07,12:56:05,132.35,15:15:00,183.55
107,CE_PE_EMA10_EMA30_2022,2022-04-04,Buy,NIFTY,50,CE,18000,2022-04-07,13:53:05,119.85,15:15:00,146.8
108,CE_PE_EMA10_EMA30_2022,2022-04-05,Buy,NIFTY,50,PE,18000,2022-04-07,10:00:15,108.0,13:02:55,79.25
109,CE_PE_EMA10_EMA30_2022,2022-04-05,Buy,NIFTY,50,CE,18100,2022-04-07,13:02:55,75.55,15:08:40,49.65
110,CE_PE_EMA10_EMA30_2022,2022-04-05,Buy,NIFTY,50,PE,18000,2022-04-07,15:08:40,94.65,15:15:00,107.55
111,CE_PE_EMA10_EMA30_2022,2022-04-06,Buy,NIFTY,50,CE,17900,2022-04-07,12:00:00,61.9,13:30:00,28.4
112,CE_PE_EMA10_EMA30_2022,2022-04-06,Buy,NIFTY,50,PE,17800,2022-04-07,13:30:00,69.85,15:15:00,51.9
113,CE_PE_EMA10_EMA30_2022,2022-04-07,Buy,NIFTY,50,CE,17800,2022-04-07,11:48:25,9.75,13:50:00,1.55
114,CE_PE_EMA10_EMA30_2022,2022-04-07,Buy,NIFTY,50,PE,17700,2022-04-07,13:50:00,34.6,15:15:00,60.65
115,CE_PE_EMA10_EMA30_2022,2022-04-11,Buy,NIFTY,50,PE,17800,2022-04-13,09:20:30,163.2,12:00:10,147.25
116,CE_PE_EMA10_EMA30_2022,2022-04-11,Buy,NIFTY,50,CE,17800,2022-04-13,12:00:10,71.0,14:58:20,49.7
117,CE_PE_EMA10_EMA30_2022,2022-04-11,Buy,NIFTY,50,PE,17700,2022-04-13,14:58:20,99.4,15:15:00,97.8
118,CE_PE_EMA10_EMA30_2022,2022-04-12,Buy,NIFTY,50,CE,17600,2022-04-13,11:58:35,44.8,13:06:15,30.35
119,CE_PE_EMA10_EMA30_2022,2022-04-12,Buy,NIFTY,50,PE,17500,2022-04-13,13:06:15,79.25,14:25:00,35.3
120,CE_PE_EMA10_EMA30_2022,2022-04-12,Buy,NIFTY,50,CE,17600,2022-04-13,14:25:00,49.05,15:15:00,30.4
121,CE_PE_EMA10_EMA30_2022,2022-04-13,Buy,NIFTY,50,PE,17600,2022-04-13,10:43:05,69.2,14:15:25,87.05
122,CE_PE_EMA10_EMA30_2022,2022-04-13,Buy,NIFTY,50,CE,17600,2022-04-13,14:15:25,3.7,15:15:00,0.1
123,CE_PE_EMA10_EMA30_2022,2022-04-18,Buy,NIFTY,50,PE,17200,2022-04-21,10:05:00,139.55,14:00:10,142.7
124,CE_PE_EMA10_EMA30_2022,2022-04-18,Buy,NIFTY,50,CE,17200,2022-04-21,14:00:10,119.5,15:15:00,129.95
125,CE_PE_EMA10_EMA30_2022,2022-04-19,Buy,NIFTY,50,PE,17200,2022-04-21,10:58:40,107.7,11:38:40,84.4
126,CE_PE_EMA10_EMA30_2022,2022-04-19,Buy,NIFTY,50,CE,17300,2022-04-21,11:38:40,66.4,13:10:00,45.75
127,CE_PE_EMA10_EMA30_2022,2022-04-19,Buy,NIFTY,50,PE,17200,2022-04-21,13:10:00,108.9,14:01:45,62.1
128,CE_PE_EMA10_EMA30_2022,2022-04-19,Buy,NIFTY,50,CE,17300,2022-04-21,14:01:45,70.6,14:55:00,37.55
129,CE_PE_EMA10_EMA30_2022,2022-04-19,Buy,NIFTY,50,PE,17200,2022-04-21,14:55:00,104.0,15:15:00,269.6
130,CE_PE_EMA10_EMA30_2022,2022-04-20,Buy,NIFTY,50,CE,17200,2022-04-21,12:37:00,46.45,13:55:25,27.8
131,CE_PE_EMA10_EMA30_2022,2022-04-20,Buy,NIFTY,50,PE,17100,2022-04-21,13:55:25,103.65,15:15:00,51.4
132,CE_PE_EMA10_EMA30_2022,2022-04-21,Buy,NIFTY,50,CE,17300,2022-04-21,09:42:20,15.85,15:15:00,88.15
